;Bytes        |8080        |8085        |gbz80|r2k|r3k|z180|z80|z80n
              |mov c, e    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
4C            |ld c, h     |~           |     |   |   |    |   |    
              |mov c, h    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
4D            |ld c, l     |~           |     |   |   |    |   |    
              |mov c, l    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
4E            |ld c, (hl)  |~           |     |   |   |    |   |    
              |mov c, m    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
4E; 23        |ld c, (hl+) |~           |     |   |   |    |   |    
              |ldi c, (hl) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
4E; 23; 46; 23|ld bc, (hl+)|~           |     |   |   |    |   |    
              |ldi bc, (hl)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
4E; 23; 46; 2B|ld bc, (hl) |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
4E; 2B        |ld c, (hl-) |~           |     |   |   |    |   |    
              |ldd c, (hl) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
4F            |ld c, a     |~           |     |   |   |    |   |    
              |mov c, a    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
50            |ld d, b     |~           |     |   |   |    |   |    
              |mov d, b    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
50; 59        |ld de, bc   |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
51            |ld d, c     |~           |     |   |   |    |   |    
              |mov d, c    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
52            |ld d, d     |~           |     |   |   |    |   |    
              |mov d, d    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
52; 5B        |ld de, de   |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
53            |ld d, e     |~           |     |   |   |    |   |    
              |mov d, e    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
54            |ld d, h     |~           |     |   |   |    |   |    
              |mov d, h    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
54; 5D        |ld de, hl   |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
55            |ld d, l     |~           |     |   |   |    |   |    
              |mov d, l    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
56            |ld d, (hl)  |~           |     |   |   |    |   |    
              |mov d, m    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
56; 23        |ld d, (hl+) |~           |     |   |   |    |   |    
              |ldi d, (hl) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
56; 2B        |ld d, (hl-) |~           |     |   |   |    |   |    
              |ldd d, (hl) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
57            |ld d, a     |~           |     |   |   |    |   |    
              |mov d, a    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
58            |ld e, b     |~           |     |   |   |    |   |    
              |mov e, b    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
59            |ld e, c     |~           |     |   |   |    |   |    
              |mov e, c    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
5A            |ld e, d     |~           |     |   |   |    |   |    
              |mov e, d    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
5B            |ld e, e     |~           |     |   |   |    |   |    
              |mov e, e    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
5C            |ld e, h     |~           |     |   |   |    |   |    
              |mov e, h    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
5D            |ld e, l     |~           |     |   |   |    |   |    
              |mov e, l    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
5E            |ld e, (hl)  |~           |     |   |   |    |   |    
              |mov e, m    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
5E; 23        |ld e, (hl+) |~           |     |   |   |    |   |    
              |ldi e, (hl) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
5E; 23; 56; 23|ld de, (hl+)|~           |     |   |   |    |   |    
              |ldi de, (hl)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
5E; 23; 56; 2B|ld de, (hl) |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
5E; 2B        |ld e, (hl-) |~           |     |   |   |    |   |    
              |ldd e, (hl) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
5F            |ld e, a     |~           |     |   |   |    |   |    
              |mov e, a    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
60            |ld h, b     |~           |     |   |   |    |   |    
              |mov h, b    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
60; 69        |ld hl, bc   |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
61            |ld h, c     |~           |     |   |   |    |   |    
              |mov h, c    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
62            |ld h, d     |~           |     |   |   |    |   |    
              |mov h, d    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
62; 6B        |ld hl, de   |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
63            |ld h, e     |~           |     |   |   |    |   |    
              |mov h, e    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
64            |ld h, h     |~           |     |   |   |    |   |    
              |mov h, h    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
64; 6D        |ld hl, hl   |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
65            |ld h, l     |~           |     |   |   |    |   |    
              |mov h, l    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
66            |ld h, (hl)  |~           |     |   |   |    |   |    
              |mov h, m    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
